Spanish word,English word,Spanish Sentence,English Sentence
sí,yes,"Claro que sí, siempre estaré dispuesto a ayudarte.","""Of course, I will always be willing to help you."""
no,no,No tengo tiempo para salir hoy.,"I'm sorry, I can only provide assistance in English. Would you like a sentence in English using that phrase instead?"
¿entiende(s)?,do you understand?,¿Entiendes la lección de matemáticas que te expliqué ayer?,Do you understand the math lesson that I explained to you yesterday?
no entiendo,i don’t understand,"Claro, aquí tienes: No entiendo el problema que estás describiendo.","Of course, here you go: I don't understand the issue you are describing."
no (lo) sé,i don’t know,No sé qué película ver esta noche.,I don't know which movie to watch tonight.
no tengo ni idea,i have no idea,No tengo ni idea de cómo solucionar este problema complicado.,I have no idea how to solve this complicated problem.
no hablo español,i don’t speak spanish,"Lo siento, no hablo español muy bien.","""Lo siento, no hablo español muy bien, pero estoy aprendiendo poco a poco."""
estoy perdido(a),i’m lost,Estoy perdido(a) en medio de la ciudad y necesito encontrar una dirección.,"""I am lost in the middle of the city and I need to find an address."""
me llamo,my name is,Me llamo Ana y vivo en Madrid.,"""My name is Ana and I live in Madrid."""
mi nombre es,my name is,"Claro, aquí tienes: ""Mi nombre es María y soy de España"".","Of course, here you go: ""Hello, my name is Maria and I am from Spain."""
soy…,i’m…,Soy estudiante de español y me encanta aprender idiomas nuevos.,I am a student of Spanish and I love learning new languages.
¿cómo te llamas?,what is your name?,"¿Hola, cómo te llamas?","""¿Hola, cómo te llamas?"" is Spanish and translates to ""Hello, what is your name?"" in English."
(yo) soy de…,i am from…,"Claro, aquí tienes: ""(Yo) soy de Estados Unidos"". ¿Necesitas ayuda con algo más?","Claro, aquí tienes: ""I am from the United States"". ¿Necesitas ayuda con algo más?"
¿cómo está usted?,how are you? (formal),¿Cómo está usted hoy?,How are you today?
¿cómo estás?,how are you? (informal),¡Hola! ¿Cómo estás hoy?,"""¡Hola! ¿Cómo estás hoy?"" is a common greeting in Spanish, meaning ""Hello! How are you today?"""
¿qué tal?,how are you? (informal) / what’s up?,¿Hola! ¿Qué tal estás hoy?,"""¿Hola! ¿Qué tal estás hoy?,"" is a Spanish sentence that translates to ""Hello! How are you today?"" in English."
¿cómo te va?,how ‘s it going?,¡Hola! ¿Cómo te va con tus estudios de español?,Hello! How is it going with your Spanish studies?
¿qué haces?,what are you doing?,"""¡Hola! ¿Qué haces mañana por la tarde?""","""¡Hola! ¿Qué haces mañana por la tarde?"" is a sentence in Spanish that translates to ""Hello! What are you doing tomorrow afternoon?"" in English."
¿qué pasa?,what ‘s happening?,"""¿Qué pasa si salimos a pasear esta tarde?""","""What if we go out for a walk this afternoon?"""
¿y tú?,and you?,¡Hola! ¿Cómo estás hoy? ¿Y tú?,"¡Hola! ¿Cómo estás hoy? ¿Y tú? This is a common greeting in Spanish, meaning ""Hello! How are you today? And you?"""
muy bien,very well,¡Estás trabajando muy bien en tu proyecto!,You are working very well on your project!
"así, así","so, so","Claro, aquí tienes una oración: Me gusta cómo quedó la decoración del salón, así, así es perfecta para la fiesta.","Of course, here is a sentence: I like how the living room decoration turned out, that way, it is perfect for the party."
mal,bad,"Lo siento, pero me siento mal hoy.","Lo siento, pero me siento mal hoy. I'm sorry, but I'm feeling unwell today."
como siempre,as always,"Claro, aquí tienes: ""Llegaste puntual al trabajo, ¡como siempre!""","""Of course, here you go: 'You arrived on time to work, just like always!'"""
¡de nada!,you’re welcome! / no problem!,"Claro, aquí tienes una frase en español: ""¡De nada! Estoy aquí para ayudarte en lo que necesites.""","Of course, here's a sentence in Spanish: ""¡De nada! Estoy aquí para ayudarte en lo que necesites."""
