Spanish word,English word,Spanish Sentence,English Sentence
sí,yes,Esta es una frase con la palabra 'sí'.,This is a sentence with the word 'yes'.
no,no,Esta es una frase con la palabra 'no'.,This is a sentence with the word 'no'.
¿entiende(s)?,do you understand?,Esta es una frase con la palabra '¿entiende(s)?'.,This is a sentence with the word 'do you understand?'.
no entiendo,i don’t understand,Esta es una frase con la palabra 'no entiendo'.,This is a sentence with the word 'i don’t understand'.
no (lo) sé,i don’t know,Esta es una frase con la palabra 'no (lo) sé'.,This is a sentence with the word 'i don’t know'.
no tengo ni idea,i have no idea,Esta es una frase con la palabra 'no tengo ni idea'.,This is a sentence with the word 'i have no idea'.
no hablo español,i don’t speak spanish,Esta es una frase con la palabra 'no hablo español'.,This is a sentence with the word 'i don’t speak spanish'.
estoy perdido(a),i’m lost,Esta es una frase con la palabra 'estoy perdido(a)'.,This is a sentence with the word 'i’m lost'.
me llamo,my name is,Esta es una frase con la palabra 'me llamo'.,This is a sentence with the word 'my name is'.
mi nombre es,my name is,Esta es una frase con la palabra 'mi nombre es'.,This is a sentence with the word 'my name is'.
soy…,i’m…,Esta es una frase con la palabra 'soy…'.,This is a sentence with the word 'i’m…'.
¿cómo te llamas?,what is your name?,Esta es una frase con la palabra '¿cómo te llamas?'.,This is a sentence with the word 'what is your name?'.
(yo) soy de…,i am from…,Esta es una frase con la palabra '(yo) soy de…'.,This is a sentence with the word 'i am from…'.
¿cómo está usted?,how are you? (formal),Esta es una frase con la palabra '¿cómo está usted?'.,This is a sentence with the word 'how are you? (formal)'.
¿cómo estás?,how are you? (informal),Esta es una frase con la palabra '¿cómo estás?'.,This is a sentence with the word 'how are you? (informal)'.
¿qué tal?,how are you? (informal) / what’s up?,Esta es una frase con la palabra '¿qué tal?'.,This is a sentence with the word 'how are you? (informal) / what’s up?'.
¿cómo te va?,how ‘s it going?,Esta es una frase con la palabra '¿cómo te va?'.,This is a sentence with the word 'how ‘s it going?'.
¿qué haces?,what are you doing?,Esta es una frase con la palabra '¿qué haces?'.,This is a sentence with the word 'what are you doing?'.
¿qué pasa?,what ‘s happening?,Esta es una frase con la palabra '¿qué pasa?'.,This is a sentence with the word 'what ‘s happening?'.
¿y tú?,and you?,Esta es una frase con la palabra '¿y tú?'.,This is a sentence with the word 'and you?'.
muy bien,very well,Esta es una frase con la palabra 'muy bien'.,This is a sentence with the word 'very well'.
"así, así","so, so","Esta es una frase con la palabra 'así, así'.","This is a sentence with the word 'so, so'."
mal,bad,Esta es una frase con la palabra 'mal'.,This is a sentence with the word 'bad'.
como siempre,as always,Esta es una frase con la palabra 'como siempre'.,This is a sentence with the word 'as always'.
